Incubation time,T,Time,Add,Ash,CBC,CEC,NBC,PBC,OPBC,SSA,pHsoil,TP,OPsoil,TC,OC,Fertilizer type,Soil texture,ECsoil,P growth rate
60,500,3,0.45,20.6,43.4,,0.183,0.34,,,8.5,,12.87,,3.4,1,3,770,1.64024864
60,300,3,0.45,48.4,30.4,,0.15,0.37,,,8.5,,12.87,,3.4,1,3,770,1.895104895
60,500,1,0.45,33.1,41,,0.71,0.19,,,8.5,,12.87,,3.4,1,3,770,1.400932401
60,300,1,0.45,31.2,36.9,,0.72,0.21,,,8.5,,12.87,,3.4,1,3,770,1.602175602
60,500,1,0.45,17.5,52.1,,0.2,0.27,,,8.5,,12.87,,3.4,1,3,770,0.212121212
60,300,1,0.45,33.2,36.3,,0.183,0.33,,,8.5,,12.87,,3.4,1,3,770,1.294483294
345,,,,,,,0.952,1.089,,,8.24,,2.48,,12.71,2,2,160,0.475757576
345,,,,,,,0.952,1.089,,,8.24,,2.48,,12.71,3,2,160,0.337719298
345,,,,,,,0.952,1.089,,,8.24,,2.48,,12.71,4,2,160,0.394117647
345,,,,,,,0.952,1.089,,,8.24,,2.48,,12.71,4,2,160,0.306151645
60,400,,5,33,46,41,0.11,0.7,,13.8,4.5,,3,,2.7,2,5,110,2.127231026
60,400,,5,33,46,41,0.11,0.7,,13.8,7.3,,8,,5,2,3,250,1.732166824
60,400,,5,33,46,41,0.11,0.7,,13.8,10,,6,,3.6,2,5,400,2.27034717
60,400,,2.5,33,46,41,0.11,0.7,,13.8,4.5,,3,,2.7,2,5,110,2.673097544
60,400,,2.5,33,46,41,0.11,0.7,,13.8,7.3,,8,,5,2,3,250,4.684948998
60,400,,2.5,33,46,41,0.11,0.7,,13.8,10,,6,,3.6,2,5,400,4.535286285
90,400,,4,33,46,41,0.11,0.7,,13.8,7.3,,8,,4.2,2,3,300,4.762539319
90,400,,4,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,2,3,300,5.50417526
90,400,,4,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,2,3,300,2.886148708
90,400,,2,33,46,41,0.11,0.7,,13.8,7.3,,8,,4.2,1,3,300,7.065402407
90,400,,2,33,46,41,0.11,0.7,,13.8,7.3,,8,,4.2,2,3,300,5.602796943
90,400,,2,33,46,41,0.11,0.7,,13.8,7.3,,8,,4.2,2,3,300,2.633506864
90,400,,2,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,1,3,300,5.357216785
90,400,,2,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,2,3,300,3.091033647
90,400,,2,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,2,3,300,1.651037486
90,400,,1,33,46,41,0.11,0.7,,13.8,7.3,,8,,4.2,1,3,300,4.209736818
90,400,,1,33,46,41,0.11,0.7,,13.8,7.3,,8,,4.2,2,3,300,3.243394388
90,400,,1,33,46,41,0.11,0.7,,13.8,7.3,,8,,4.2,2,3,300,0.949269708
90,400,,1,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,1,3,300,3.23763129
90,400,,1,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,2,3,300,1.624396066
90,400,,1,33,46,41,0.11,0.7,,13.8,7.3,,15,,5,2,3,300,0.658307731
370,450,5,3,,57.7,45.8,,0.3014,195,,7.8,0.626,3.98,0.136,6.71,1,3,2.36,2.32
370,450,5,3,,57.7,45.8,,0.3014,195,,7.8,0.626,3.98,0.136,6.71,1,3,2.36,2.05
70,500,2,1,,,15.2,,0.1164,714,,6.27,0.652,62.8,,29.1,1,5,,1.188709677
70,500,2,1,,,15.2,,0.1164,714,,6.27,0.652,62.8,,29.1,2,5,,1.088709677
56,,,8,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,-0.02633326
56,,,5,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.040053109
56,,,3,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.059526444
56,,,1,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,0.043815003
28,,,8,,53.71,,,0.68,,49.48,4.83,,28.43,,,2,4,,-0.003878343
